Place,Time,Latitude,Longitude,Magnitude,Depth
"Karbi Anglong, Assam",2024-03-22 16:12:44 IST,26.52, 93.19,2.5,25km
Tajikistan,2024-03-22 15:29:39 IST,37.88, 72.71,4.0,10km
"Qinghai, China",2024-03-22 03:54:58 IST,33.51, 93.17,4.1,198km
"Satara, Maharashtra",2024-03-22 00:26:11 IST,17.39, 74.71,2.9,10km
"Uttarkashi, Uttarakhand",2024-03-21 21:23:09 IST,30.97, 78.08,2.8,5km
"Tengnoupal, Manipur",2024-03-21 14:57:10 IST,24.30, 94.25,3.9,30km
"West Khasi Hills, Meghalaya",2024-03-21 13:08:32 IST,25.73, 91.29,2.9,24km
"Sonipat, Haryana",2024-03-21 09:56:30 IST,28.94, 76.99,2.4,5km
"Hingoli, Maharashtra",2024-03-21 06:24:21 IST,19.57, 77.01,2.6,5km
"Hingoli, Maharashtra",2024-03-21 06:19:05 IST,19.41, 77.32,3.6,10km
"Hingoli, Maharashtra",2024-03-21 06:08:30 IST,19.48, 77.30,4.5,10km
Bhutan,2024-03-21 06:01:41 IST,27.03, 89.22,3.1,8km
"Chamoli, Uttarakhand",2024-03-21 05:37:51 IST,30.57, 79.45,2.4,5km
"East Kameng, Arunachal Pradesh",2024-03-21 05:16:35 IST,27.51, 92.85,2.9,5km
"East Kameng, Arunachal Pradesh",2024-03-21 05:13:29 IST,27.46, 92.82,3.2,5km
"East Kameng, Arunachal Pradesh",2024-03-21 03:40:12 IST,27.46, 92.82,3.4,5km
"East Kameng, Arunachal Pradesh",2024-03-21 01:54:29 IST,27.44, 92.81,2.5,10km
"West Kameng, Arunachal Pradesh",2024-03-21 01:49:54 IST,27.38, 92.77,3.7,10km
Xizang,2024-03-20 22:28:11 IST,33.99, 86.30,4.2,151km
"Tamenglong, Manipur",2024-03-20 14:23:59 IST,25.10, 93.76,3.1,15km
Pakistan,2024-03-20 12:10:46 IST,30.15, 66.28,4.1,10km
Pakistan,2024-03-20 09:49:41 IST,29.76, 66.61,4.2,55km
"Kangpokpi, Manipur",2024-03-20 09:40:05 IST,24.94, 93.76,3.0,28km
Pakistan,2024-03-20 02:57:11 IST,29.74, 65.93,5.5,105km
Afghanistan,2024-03-19 19:39:05 IST,36.51, 71.56,4.0,130km
Afghanistan,2024-03-19 06:05:24 IST,29.77, 65.58,5.3,130km
"Sangareddy, Telangana",2024-03-18 18:14:06 IST,17.55, 78.21,2.5,5km
"Kamrup, Assam",2024-03-18 17:41:49 IST,25.81, 91.26,3.0,5km
"Singrauli, Madhya Pradesh",2024-03-18 14:52:15 IST,24.27, 82.70,3.3,5km
"Ballari, Karnataka",2024-03-18 14:18:41 IST,14.89, 76.62,2.4,10km
Tajikistan,2024-03-18 07:40:35 IST,38.30, 69.87,4.1,10km
Xizang,2024-03-18 06:55:13 IST,32.74, 93.13,4.0,10km
Tajikistan,2024-03-18 04:48:37 IST,37.06, 71.60,3.8,10km
"Qinghai, China",2024-03-18 03:36:03 IST,33.14, 93.07,4.0,202km
Afghanistan,2024-03-17 19:59:23 IST,36.66, 71.43,4.5,169km
Myanmar,2024-03-17 15:03:36 IST,24.71, 94.68,3.6,97km
"Chandel, Manipur",2024-03-17 14:35:45 IST,24.04, 94.09,2.9,30km
"Ballari, Karnataka",2024-03-17 13:44:48 IST,14.92, 76.64,2.6,10km
"Ghaziabad, Uttar Pradesh",2024-03-17 12:59:50 IST,28.85, 77.62,2.8,5km
"Mandi, Himachal Pradesh",2024-03-17 08:04:08 IST,31.44, 77.26,2.9,5km
"Mangan, Sikkim",2024-03-17 01:42:57 IST,27.46, 88.76,2.7,10km
Myanmar,2024-03-16 23:32:40 IST,25.60, 95.37,3.3,10km
"Kokrajhar, Assam",2024-03-15 22:39:22 IST,26.76, 90.27,2.8,5km
"Dhubri, Assam",2024-03-15 20:27:20 IST,26.19, 89.87,2.7,10km
"Singrauli, Madhya Pradesh",2024-03-15 13:48:02 IST,24.01, 82.65,3.1,5km
"Kamjong, Manipur",2024-03-15 06:56:09 IST,24.76, 94.46,3.9,90km
Tajikistan,2024-03-14 21:42:28 IST,37.78, 71.86,4.4,210km
"Tirupati, Andhra Pradesh",2024-03-14 20:43:05 IST,13.84, 79.91,3.9,10km
"Sonitpur, Assam",2024-03-14 18:19:37 IST,26.68, 92.56,2.5,25km
